rank,lat,lon,clearance_m,nearest_tree_m,maps_link,verdict (pass/fail),notes
1,27.56156,68.21918,9.0,150,"https://www.google.com/maps?q=27.561560,68.219180",,
2,27.56582,68.218025,6.0,150,"https://www.google.com/maps?q=27.565820,68.218025",,
3,27.561262,68.210425,6.7,150,"https://www.google.com/maps?q=27.561262,68.210425",,
4,27.56308,68.215562,6.0,148,"https://www.google.com/maps?q=27.563080,68.215562",,
5,27.538904,68.207932,9.0,150,"https://www.google.com/maps?q=27.538904,68.207932",,
6,27.557355,68.217143,4.2,150,"https://www.google.com/maps?q=27.557355,68.217143",,
7,27.561723,68.213526,9.0,134,"https://www.google.com/maps?q=27.561723,68.213526",,
8,27.554071,68.217174,6.7,150,"https://www.google.com/maps?q=27.554071,68.217174",,
9,27.559471,68.218207,6.0,150,"https://www.google.com/maps?q=27.559471,68.218207",,
10,27.559552,68.206716,4.2,106,"https://www.google.com/maps?q=27.559552,68.206716",,
11,27.571301,68.221065,6.7,150,"https://www.google.com/maps?q=27.571301,68.221065",,
12,27.542648,68.214164,4.2,142,"https://www.google.com/maps?q=27.542648,68.214164",,
13,27.558169,68.198417,9.0,81,"https://www.google.com/maps?q=27.558169,68.198417",,
14,27.559769,68.222858,10.8,114,"https://www.google.com/maps?q=27.559769,68.222858",,
15,27.563839,68.220122,6.0,128,"https://www.google.com/maps?q=27.563839,68.220122",,
16,27.561669,68.200272,6.7,111,"https://www.google.com/maps?q=27.561669,68.200272",,
17,27.566932,68.199238,6.7,85,"https://www.google.com/maps?q=27.566932,68.199238",,
18,27.535133,68.205652,6.0,143,"https://www.google.com/maps?q=27.535133,68.205652",,
19,27.541075,68.211945,4.2,101,"https://www.google.com/maps?q=27.541075,68.211945",,
20,27.544602,68.211823,8.5,65,"https://www.google.com/maps?q=27.544602,68.211823",,
21,27.572658,68.225928,12.0,69,"https://www.google.com/maps?q=27.572658,68.225928",,
22,27.573309,68.216414,6.0,121,"https://www.google.com/maps?q=27.573309,68.216414",,
23,27.53592,68.208084,6.0,81,"https://www.google.com/maps?q=27.535920,68.208084",,
24,27.552091,68.223679,6.7,150,"https://www.google.com/maps?q=27.552091,68.223679",,
25,27.544331,68.202308,6.0,150,"https://www.google.com/maps?q=27.544331,68.202308",,
26,27.617942,68.277668,9.0,150,"https://www.google.com/maps?q=27.617942,68.277668",,
27,27.552091,68.219788,4.2,97,"https://www.google.com/maps?q=27.552091,68.219788",,
28,27.570161,68.199147,6.0,75,"https://www.google.com/maps?q=27.570161,68.199147",,
29,27.566091,68.210638,6.7,89,"https://www.google.com/maps?q=27.566091,68.210638",,
30,27.570704,68.201913,9.0,51,"https://www.google.com/maps?q=27.570704,68.201913",,
31,27.555103,68.206078,6.0,67,"https://www.google.com/maps?q=27.555103,68.206078",,
32,27.548021,68.205652,9.0,61,"https://www.google.com/maps?q=27.548021,68.205652",,
33,27.555944,68.219545,6.7,150,"https://www.google.com/maps?q=27.555944,68.219545",,
34,27.539772,68.201001,6.0,110,"https://www.google.com/maps?q=27.539772,68.201001",,
35,27.551629,68.217022,9.5,64,"https://www.google.com/maps?q=27.551629,68.217022",,
36,27.547017,68.215137,9.5,82,"https://www.google.com/maps?q=27.547017,68.215137",,
37,27.557219,68.194769,6.7,76,"https://www.google.com/maps?q=27.557219,68.194769",,
38,27.575913,68.207172,6.0,65,"https://www.google.com/maps?q=27.575913,68.207172",,
39,27.566634,68.207932,10.8,24,"https://www.google.com/maps?q=27.566634,68.207932",,
40,27.551141,68.213738,6.0,64,"https://www.google.com/maps?q=27.551141,68.213738",,
41,27.544711,68.198326,9.5,139,"https://www.google.com/maps?q=27.544711,68.198326",,
42,27.548672,68.219393,4.2,88,"https://www.google.com/maps?q=27.548672,68.219393",,
43,27.550978,68.19711,6.0,51,"https://www.google.com/maps?q=27.550978,68.197110",,
44,27.541509,68.221186,12.0,70,"https://www.google.com/maps?q=27.541509,68.221186",,
45,27.532962,68.207811,3.0,86,"https://www.google.com/maps?q=27.532962,68.207811",,
46,27.569049,68.204467,6.0,55,"https://www.google.com/maps?q=27.569049,68.204467",,
47,27.567529,68.222524,6.0,97,"https://www.google.com/maps?q=27.567529,68.222524",,
48,27.544683,68.207142,4.2,108,"https://www.google.com/maps?q=27.544683,68.207142",,
49,27.563839,68.209604,3.0,66,"https://www.google.com/maps?q=27.563839,68.209604",,
50,27.573661,68.22222,6.7,69,"https://www.google.com/maps?q=27.573661,68.222220",,
